"Time (s) Run #1","Position (m) Run #1"
42.850,0.4582
42.900,0.4199
42.950,0.3840
43.000,0.3485
43.050,0.3136
43.100,0.2839
43.150,0.2590
43.200,0.2370
43.250,0.2230
43.300,0.2155
43.350,0.2142
43.400,0.2192
43.450,0.2306
43.500,0.2499
43.550,0.2727
43.600,0.3006
43.650,0.3321
43.700,0.3687
43.750,0.4043
43.800,0.4427
43.850,0.4779
43.900,0.5112
43.950,0.5412
44.000,0.5669
44.050,0.5882
44.100,0.6039
44.150,0.6137
44.200,0.6176
44.250,0.6152
44.300,0.6068
44.350,0.5924
44.400,0.5726
44.450,0.5477
44.500,0.5182
44.550,0.4857
44.600,0.4490
44.650,0.4128
44.700,0.3771
44.750,0.3402
44.800,0.3080
44.850,0.2794
44.900,0.2536
44.950,0.2350
45.000,0.2221
45.050,0.2155
45.100,0.2153
45.150,0.2215
45.200,0.2340
45.250,0.2519
45.300,0.2777
45.350,0.3063
45.400,0.3383
45.450,0.3754
45.500,0.4106
45.550,0.4464
45.600,0.4836
45.650,0.5162
45.700,0.5455
45.750,0.5707
45.800,0.5905
45.850,0.6051
45.900,0.6140
45.950,0.6164
46.000,0.6131
46.050,0.6055
46.100,0.5879
46.150,0.5674
46.200,0.5419
46.250,0.5122
46.300,0.4792
46.350,0.4424
46.400,0.4066
46.450,0.3711
46.500,0.3367
46.550,0.3034
46.600,0.2754
46.650,0.2507
46.700,0.2329
46.750,0.2214
46.800,0.2158
46.850,0.2170
46.900,0.2243
46.950,0.2381
47.000,0.2590
47.050,0.2837
47.100,0.3129
47.150,0.3472
47.200,0.3824
47.250,0.4177
47.300,0.4552
47.350,0.4896
47.400,0.5217
47.450,0.5502
47.500,0.5740
47.550,0.5928
47.600,0.6062
47.650,0.6139
47.700,0.6174
47.750,0.6108
47.800,0.6000
47.850,0.5840
47.900,0.5624
47.950,0.5360
48.000,0.5060
48.050,0.4728
48.100,0.4354
48.150,0.3997
48.200,0.3645
48.250,0.3289
48.300,0.2982
48.350,0.2694
48.400,0.2474
48.450,0.2315
48.500,0.2209
48.550,0.2165
48.600,0.2188
48.650,0.2274
48.700,0.2415
48.750,0.2617
48.800,0.2890
48.850,0.3188
48.900,0.3538
48.950,0.3886
49.000,0.4240
49.050,0.4595
49.100,0.4952
